"
  
  Housekeeper Needed 2x per Week (Cumming)
"
"
        Housekeeper needed. Twice a week for four hours a day. $100 per week for an income of $400 to $500 per month. I do not want a cleaning company, I'm looking for an individual who takes pride in their work. I am a wife and working mother of two who will appreciate you and your help! I live just north of the Alpharetta line off Hwy 9 in Cumming

Ama de llaves necesitado. Dos veces por semana durante cuatro horas al día. $100 por semana para un ingreso de $400 a $500 por mes. No quiero que una empresa de limpieza, estoy buscando a un individuo que se enorgullecen de su trabajo. Soy una esposa y madre de trabajo de dos que apreciará tú y tu ayuda! Yo no hablo a español. Estoy usando un traductor para esto. Si habla a poco inglés que está bien. Estoy más preocupado que eres honesto y solidario.
    "
"
  
  Window Cleaning Tech
"
"
        ""SUPER Technicians "" VERY DETERMINED"" Window Cleaning Technicians
compensation: 35- 45% of each job
Necesito un limpiador de ventanas experimentado AHORA (ATLANTA)
image 1

image 1image 2image 3image 4image 5image 6image 7image 8

© craigslist - Map data © OpenStreetMap
(google map) (yahoo map)

compensation: 35%-45%
ESTOY BUSCANDO GENTE DE TRABAJO DURO y confiable honesto. Alguien que va a trabajar duro y dispuesto a ganar un sueldo grande y honesto. EN BUSCA DE PERSONAS CON EXPERIENCIA EN ESTE MOMENTO. ESTAMOS UBICADOS EN ATLANTA.
POR FAVOR SER COMPETENTE EN LAS ÁREAS DE VENTANA DETALLE, CANAL DE LIMPIEZA Y LAVADO DE POTENCIA.


30032, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30312, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30324, 30326, 30327, 30331, 30332, 30334, 30336, 30342, 30344, 30354, 30363.

    "
"
  
  ""SUPER Technicians "" VERY DETERMINED"" Window Cleaning Technicians
"
"
        ""SUPER Technicians "" VERY DETERMINED"" Window Cleaning Technicians
compensation: 35- 45% of each job
Necesito un limpiador de ventanas experimentado AHORA (ATLANTA)
image 1

image 1image 2image 3image 4image 5image 6image 7image 8

© craigslist - Map data © OpenStreetMap
(google map) (yahoo map)

compensation: 35%-45%
ESTOY BUSCANDO GENTE DE TRABAJO DURO y confiable honesto. Alguien que va a trabajar duro y dispuesto a ganar un sueldo grande y honesto. EN BUSCA DE PERSONAS CON EXPERIENCIA EN ESTE MOMENTO. ESTAMOS UBICADOS EN ATLANTA.
POR FAVOR SER COMPETENTE EN LAS ÁREAS DE VENTANA DETALLE, CANAL DE LIMPIEZA Y LAVADO DE POTENCIA.


30032, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30312, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30324, 30326, 30327, 30331, 30332, 30334, 30336, 30342, 30344, 30354, 30363.
do NOT contact me with unsolicited services or offers
    "
"
  
  Seeking Window Cleaning Technicians
"
"
        ""SUPER Technicians "" VERY DETERMINED"" Window Cleaning Technicians
compensation: 35- 45% of each job
Necesito un limpiador de ventanas experimentado AHORA (ATLANTA)
image 1

image 1image 2image 3image 4image 5image 6image 7image 8

© craigslist - Map data © OpenStreetMap
(google map) (yahoo map)

compensation: 35%-45%
ESTOY BUSCANDO GENTE DE TRABAJO DURO y confiable honesto. Alguien que va a trabajar duro y dispuesto a ganar un sueldo grande y honesto. EN BUSCA DE PERSONAS CON EXPERIENCIA EN ESTE MOMENTO. ESTAMOS UBICADOS EN ATLANTA.
POR FAVOR SER COMPETENTE EN LAS ÁREAS DE VENTANA DETALLE, CANAL DE LIMPIEZA Y LAVADO DE POTENCIA.


30032, 30303, 30305, 30306, 30307, 30308, 30309, 30310, 30311, 30312, 30313, 30314, 30315, 30316, 30317, 30318, 30319, 30324, 30326, 30327, 30331, 30332, 30334, 30336, 30342, 30344, 30354, 30363.
do NOT contact me with unsolicited services or offers
    "
"
  
  Handymen Needed for Household Help - Las manitas Necesarios para Hogar (Edgewood)
"
"
        I need two people who can paint and do basic household repairs, labor and cleaning who will work for $10 per hour each for a few days. If interested and available immediately, please respond by email. Located in Edgewood neighborhood, near East Atlanta. Thank you!

Necesito dos personas que pueden pintar y hacer reparaciones básicas del hogar, el trabajo y la limpieza que trabajarán por $ 10 por hora cada uno por unos pocos días. Si está interesado y disponible de inmediato, por favor responder por correo electrónico.  Situado en el barrio de Edgewood, cerca de East Atlanta. Gracias!

    "
"
  
  Rento cuarto x limpieza del hogar (solo para mujeres) (Marietta)
"
"
        Pareja con 2 niños en busca de una empleada doméstica. Se le ofrese un cuarto con todo incluido (agua, luz, gas, comida, internet). El pago de una mesada semanal es negociable.

La habitación se ofrece para mujer soltera y sin hijos SOLAMENTE, sin antesedentes penales, que no use drogas y que sea una persona limpia, organizada e honrada.

El trabajo conciste en limpiar casa, lavar ropa, cocinar, quidar niños, exetera por un promedio de 40hr semanales.

Envie foto reciente de usred y un resumen de sus experiencias.

Gracias
    "
