Title,"Selling Hudson Twin-Pack of Weed & Bug Eliminator Sprayers -- 2-Gallon Capacity each.  New in box- never used

FEATURES + BENEFITS

Twin-pack of light-duty sprayers
Stable tank with 6 feet of hose and funnel top
Polythumb-operated control valve with in-line filter
18in. curved poly spray wand
Nipples adjust from fine mist to coarse spray
High-performance pump
Comfortable glove-sized handle

WHAT'S INCLUDED
(2) Poly tanks
(2) Pump assemblies
(2) Hoses
(2) Control valves
(2) Supply tubes
(2) Nozzle caps
(1) Instructions"
Body,Hudson Twin-Pack of Weed & Bug Eliminator Sprayers -- 2-Gallon Capacity - $20 (Centennial/ South Glen/ Littleton)
Title,"I have 3x4 bales of weed free straw for sale for $75 a bale.  Nice covered, gold straw from 2014 season weighing approximately 850lbs ea.  10 or more bales purchased price drops to $60 bale.  Also have 3rd cutting of 3x4 bales of alfalfa hay for $120 bale and discounted with more bales purchased.  Alfalfa bales weighing approximately 1200lbs.  Delivery available for extra charge contact jason 
 show contact info
(texting works best)"
Body,weed free straw - $75 (fort collins)
Title,"Free Craftsman Gas Bushwacker weed trimmer and brush cutter. It doesn't currently work, but probably wouldn't take much to get it going again. We are moving and just don't want to take the time to get it fixed."
Body,Free Craftsman weed trimmer (Brighton)
Title,"Jars to store your stuff
Pot, Weed, Grass, 420, Ganga, Dope, Herb, Joint, Blunt, Cannabis, Reefer, Mary Jane, Buds, Stinkweed, Nuggets, Tobacco, Hay, Rope, Gangster, Skunk, Boom, Blaze, Ashes, Block, Boo, Broccoli, Burrito, Burnie, Charge"
Body,Marijuana Jars - Weed Grass Ganga Dope Herb Joint Blunt Cannabis Blaze - $4 (denver colorado)
Title,"Electric weed eater


runs great - just needs some new string.

$25.00"
Body,electric weed eater - $25 (Denver)
Title,"Push Lawn mower and weed wacker $60 for both 

 show contact info"
Body,lawn mower and weed wacker - $60 (Lowry)
Title,"Handyman special, Weed eater has trouble running but when it runs it runs strong. I did a rebuild on the carb with a new carb kit but it still has the same problem. I think it's in the fuel pickup. I am done working on it. $25.00 or best offer. Will not deliver"
Body,MAC 2816 weed eater - $25 (denver area)
Title,I have really bad back problems and am low on funds. Looking to see if anyone would be interested in exchanging weed for baked goods. Your choice of cookies or whatever. I was a professional chef for several years before my accident so they will be tasty!! Here's a couple pics of food I have done.
Body,Home baked goods for weed (Denver)
Title,"Snow goddess / Cali orange / Andy og / purple elephant / Moby dick / rock star kush 
1/8 $30   1/4 $ 60   1/2 $120   oz $200
HIGHEST QUALITY IN TOWN !
NO RED CARD NEEDED
medical grade recreational marijuana
Colfax and Wandsworth
 
 show contact info"
Body,"free weed, marijuana, with donation (denver / lakewood)"
Title,"HIGHEST QUALITY IN TOWN !
NO RED CARD NEEDED
snow goddess / Cali orange / Andy og / purple elephant / Moby dick / rock star kush
1/8 $30   1/4 $60   1/2 $120   oz $200
Colfax and Wadsworth
 
 show contact info"
Body,"free weed, marijuana, with donation (denver / lakewood)"
Title,Great gift for stoners weed trading cards selling each set at 15 plz email for more info :) happy 420 lmk if u need anything else too ;)
Body,Weed trading cards - $15 (Aurora)
Title,Only used once or twice - bought it for a project that never happened.
